red/green,disorganized/organized,dull/shiny,chromaticity,darkness/lightness,Image,fine/coarse grain,smooth/rough
5.0,5.4,6.8,0.7,8.1,S_Rock Gypsum_11.jpg,2.6,3.1
4.6,3.55,7.05,2.4,6.25,S_Rock Gypsum_12.jpg,3.25,3.9
4.91,3.95,7.0,1.0,5.2,S_Rock Salt_01.jpg,4.6,5.1
5.0,3.65,6.35,0.3,3.85,S_Rock Salt_02.jpg,6.6,7.65
4.77,3.8,6.05,1.7,7.1,S_Rock Salt_03.jpg,6.4,7.15
5.81,1.8,7.3,2.9,6.4,S_Rock Salt_04.jpg,7.2,8.2
2.0,4.15,5.15,5.6,6.5,S_Rock Salt_05.jpg,4.0,4.75
5.0,3.5,6.5,0.5,4.35,S_Rock Salt_06.jpg,6.9,8.05
5.12,2.65,6.35,2.3,8.05,S_Rock Salt_07.jpg,6.75,8.2
4.33,5.4,7.25,2.2,8.25,S_Rock Salt_08.jpg,3.15,3.6
3.02,2.45,7.25,3.6,7.55,S_Rock Salt_09.jpg,5.6,7.75
3.14,5.5,6.2,3.4,8.3,S_Rock Salt_10.jpg,3.0,3.95
2.09,4.9,5.9,4.7,7.0,S_Rock Salt_11.jpg,3.55,3.3
5.02,4.0,7.45,0.4,8.4,S_Rock Salt_12.jpg,2.3,3.7
3.14,8.9,2.35,4.5,4.55,S_Sandstone_01.jpg,4.1,3.55
4.84,7.55,2.75,4.5,7.1,S_Sandstone_02.jpg,3.55,3.65
5.53,6.85,2.35,1.8,7.15,S_Sandstone_03.jpg,2.85,2.75
5.23,5.6,1.75,1.8,7.1,S_Sandstone_04.jpg,3.0,3.4
1.6,6.6,2.0,5.7,5.4,S_Sandstone_05.jpg,3.2,3.85
3.02,8.4,1.95,3.3,6.65,S_Sandstone_06.jpg,4.15,4.35
1.86,8.95,2.15,5.7,5.5,S_Sandstone_07.jpg,3.5,3.75
4.05,6.5,2.1,3.7,7.25,S_Sandstone_08.jpg,2.95,3.4
1.56,7.75,1.8,5.6,5.85,S_Sandstone_09.jpg,3.85,3.85
3.21,5.5,2.25,4.2,6.7,S_Sandstone_10.jpg,4.25,5.35
6.53,5.7,2.1,2.0,7.0,S_Sandstone_11.jpg,4.05,4.95
3.07,6.65,1.6,5.4,7.05,S_Sandstone_12.jpg,3.3,3.6
4.21,5.95,3.75,2.2,4.2,S_Shale_01.jpg,2.35,2.7
5.35,4.9,3.1,1.8,2.5,S_Shale_02.jpg,3.8,4.95
2.3,5.25,2.0,5.0,5.2,S_Shale_03.jpg,3.0,4.0
5.05,5.8,2.3,0.5,2.55,S_Shale_04.jpg,2.35,2.85
4.02,6.1,2.65,2.3,3.75,S_Shale_05.jpg,2.45,2.8
3.09,6.6,3.35,4.2,4.4,S_Shale_06.jpg,4.4,4.15
5.23,5.4,3.45,2.3,4.8,S_Shale_07.jpg,2.8,3.45
2.95,5.15,4.7,3.7,3.5,S_Shale_08.jpg,3.1,3.6
4.09,3.7,3.15,3.5,3.65,S_Shale_09.jpg,4.0,5.2
5.07,5.5,1.8,0.5,4.05,S_Shale_10.jpg,2.9,3.75
2.23,5.3,3.75,5.6,5.05,S_Shale_11.jpg,3.45,5.25
3.05,5.5,2.75,3.8,5.35,S_Shale_12.jpg,3.35,3.8
